hr,rr,spo2,temp,time
96,16,98,37,2021/03/06 06:59:02
99,14,92,37.9,2021/03/06 06:59:05
83,16,88,36.3,2021/03/06 06:59:08
71,20,94,37.7,2021/03/06 06:59:11
102,20,93,36.3,2021/03/06 06:59:14
87,17,95,37.6,2021/03/06 06:59:17
82,17,97,37.3,2021/03/06 06:59:20
101,22,92,37.8,2021/03/06 06:59:23
100,21,97,36,2021/03/06 06:59:26
93,19,94,36.6,2021/03/06 06:59:29
100,15,95,37,2021/03/06 06:59:32
112,20,92,36.6,2021/03/06 06:59:35
93,18,91,37.5,2021/03/06 06:59:38
105,20,90,37.5,2021/03/06 06:59:41
91,16,99,37.2,2021/03/06 06:59:44
90,18,92,36.1,2021/03/06 06:59:47
93,14,94,37,2021/03/06 06:59:50
108,14,94,37.5,2021/03/06 06:59:53
72,22,93,37.7,2021/03/06 06:59:56
109,14,95,37.7,2021/03/06 06:59:59
97,20,90,37.6,2021/03/06 07:00:02
96,22,95,37.8,2021/03/06 07:00:05
89,22,88,36.9,2021/03/06 07:00:08
68,23,93,37.5,2021/03/06 07:00:11
71,16,90,36.9,2021/03/06 07:00:14
93,23,89,37.4,2021/03/06 07:00:17
95,20,89,36.4,2021/03/06 07:00:20
62,15,89,37,2021/03/06 07:00:23
98,20,91,36.5,2021/03/06 07:00:26
83,16,97,36.5,2021/03/06 07:00:29
94,15,94,36.6,2021/03/06 07:00:32
93,18,94,37.4,2021/03/06 07:00:35
68,18,95,36.1,2021/03/06 07:00:38
73,16,89,37,2021/03/06 07:00:41
110,19,88,36.3,2021/03/06 07:00:44
88,17,93,36.6,2021/03/06 07:00:47
67,20,98,36.1,2021/03/06 07:00:50
93,20,92,36.7,2021/03/06 07:00:53
94,19,90,36.1,2021/03/06 07:00:56
110,15,98,37.4,2021/03/06 07:00:59
79,19,96,36.9,2021/03/06 07:01:02
75,16,89,36.2,2021/03/06 07:01:05
97,22,92,37.1,2021/03/06 07:01:08
110,16,92,36.6,2021/03/06 07:01:11
100,17,97,36.9,2021/03/06 07:01:14
92,18,90,36.1,2021/03/06 07:01:17
80,21,97,36.4,2021/03/06 07:01:20
105,18,97,37.5,2021/03/06 07:01:23
101,16,99,37.6,2021/03/06 07:01:26
63,15,96,37.9,2021/03/06 07:01:29
89,13,89,37.9,2021/03/06 07:01:32
63,18,99,36,2021/03/06 07:01:35
102,24,96,37.2,2021/03/06 07:01:38
83,24,93,36.2,2021/03/06 07:01:41
70,20,91,37,2021/03/06 07:01:44
80,16,94,36,2021/03/06 07:01:47
71,23,90,36.3,2021/03/06 07:01:50
93,21,89,36.9,2021/03/06 07:01:53
103,18,91,36.8,2021/03/06 07:01:56
71,16,98,37.6,2021/03/06 07:01:59
74,15,90,36.1,2021/03/06 07:02:02
82,22,96,37.4,2021/03/06 07:02:05
65,15,89,37,2021/03/06 07:02:08
68,18,95,36.5,2021/03/06 07:02:11
105,18,94,37.2,2021/03/06 07:02:14
86,23,95,37.7,2021/03/06 07:02:17
97,16,97,37.5,2021/03/06 07:02:20
108,20,90,37.9,2021/03/06 07:02:23
96,16,91,36.9,2021/03/06 07:02:26
89,18,98,37.4,2021/03/06 07:02:29
90,16,92,36.8,2021/03/06 07:02:32
112,16,93,38,2021/03/06 07:02:35
81,18,88,37.2,2021/03/06 07:02:38
74,21,88,36.3,2021/03/06 07:02:41
111,22,96,36.5,2021/03/06 07:02:44
93,16,90,36.7,2021/03/06 07:02:47
96,20,91,37.6,2021/03/06 07:02:50
61,17,89,36.9,2021/03/06 07:02:53
76,18,98,36.3,2021/03/06 07:02:56
106,21,90,36.7,2021/03/06 07:02:59
76,17,98,37.9,2021/03/06 07:03:02
87,22,90,37.3,2021/03/06 07:03:05
92,16,90,37.8,2021/03/06 07:03:08
97,19,89,37.8,2021/03/06 07:03:11
80,23,91,37.8,2021/03/06 07:03:14
113,20,89,37.3,2021/03/06 07:03:17
87,18,90,36.7,2021/03/06 07:03:20
97,24,91,36.1,2021/03/06 07:03:23
72,24,93,36.9,2021/03/06 07:03:26
88,16,97,36.8,2021/03/06 07:03:29
65,18,95,36.2,2021/03/06 07:03:32
74,22,94,38,2021/03/06 07:03:35
108,14,95,37.3,2021/03/06 07:03:38
106,21,98,36.8,2021/03/06 07:03:41
109,23,99,37.8,2021/03/06 07:03:44
94,14,96,37.4,2021/03/06 07:03:47
83,14,92,37,2021/03/06 07:03:50
95,15,95,37.5,2021/03/06 07:03:53
106,20,91,37,2021/03/06 07:03:56
79,17,94,37.7,2021/03/06 07:03:59
107,16,95,37.8,2021/03/06 07:04:02
68,20,98,37.6,2021/03/06 07:04:05
74,21,92,37.5,2021/03/06 07:04:08
79,20,99,36.2,2021/03/06 07:04:11
104,14,98,36.5,2021/03/06 07:04:14
92,17,93,36.9,2021/03/06 07:04:17
74,21,97,36.7,2021/03/06 07:04:20
88,19,94,37.8,2021/03/06 07:04:23
76,18,92,36.9,2021/03/06 07:04:26
91,13,92,36.3,2021/03/06 07:04:29
98,16,91,37,2021/03/06 07:04:32
113,14,97,37.7,2021/03/06 07:04:35
71,17,94,37.4,2021/03/06 07:04:38
80,17,91,37.9,2021/03/06 07:04:41
91,17,99,36.4,2021/03/06 07:04:44
68,24,98,37.9,2021/03/06 07:04:47
104,23,94,36.8,2021/03/06 07:04:50
88,15,94,36.2,2021/03/06 07:04:53
110,15,96,36.4,2021/03/06 07:04:56
109,21,89,37.8,2021/03/06 07:04:59
79,22,91,36.6,2021/03/06 07:05:02
96,16,93,37.9,2021/03/06 07:05:05
72,13,96,36.1,2021/03/06 07:05:08
85,21,93,37.3,2021/03/06 07:05:11
88,13,91,37.9,2021/03/06 07:05:14
95,16,91,37.4,2021/03/06 07:05:17
101,16,92,37.6,2021/03/06 07:05:20
81,18,92,37.9,2021/03/06 07:05:23
98,20,94,37.7,2021/03/06 07:05:26
91,21,95,37,2021/03/06 07:05:29
80,18,96,36.1,2021/03/06 07:05:32
95,13,95,37.7,2021/03/06 07:05:35
94,13,94,36.9,2021/03/06 07:05:38
69,16,92,36.7,2021/03/06 07:05:41
80,16,92,37.5,2021/03/06 07:05:44
73,14,97,36.1,2021/03/06 07:05:47
83,22,92,36.8,2021/03/06 07:05:50
64,23,96,37.7,2021/03/06 07:05:53
80,21,90,36.2,2021/03/06 07:05:56
102,19,92,36.1,2021/03/06 07:05:59
70,23,88,37.4,2021/03/06 07:06:02
101,18,92,37.3,2021/03/06 07:06:05
105,18,90,36.7,2021/03/06 07:06:08
112,22,98,36.8,2021/03/06 07:06:11
74,14,98,36.1,2021/03/06 07:06:14
84,19,99,37.9,2021/03/06 07:06:17
112,18,92,37.7,2021/03/06 07:06:20
88,23,95,36.6,2021/03/06 07:06:23
66,14,93,36.3,2021/03/06 07:06:26
76,19,99,36.1,2021/03/06 07:06:29
69,17,98,36.8,2021/03/06 07:06:32
113,16,96,37.9,2021/03/06 07:06:35
91,17,89,36.3,2021/03/06 07:06:38
100,17,88,36.4,2021/03/06 07:06:41
78,16,94,37.4,2021/03/06 07:06:44
85,23,89,36.8,2021/03/06 07:06:47
86,19,90,37.3,2021/03/06 07:06:50
75,19,90,36.3,2021/03/06 07:06:53
77,19,96,36.2,2021/03/06 07:06:56
66,21,90,37.8,2021/03/06 07:06:59
101,15,96,37.5,2021/03/06 07:07:02
85,21,99,36.9,2021/03/06 07:07:05
88,15,93,37.8,2021/03/06 07:07:08
84,21,88,36.4,2021/03/06 07:07:11
88,18,93,36.1,2021/03/06 07:07:14
66,19,97,36.7,2021/03/06 07:07:17
72,23,97,36.2,2021/03/06 07:07:20
108,23,94,37.7,2021/03/06 07:07:23
80,14,91,36.1,2021/03/06 07:07:26
87,24,91,36.1,2021/03/06 07:07:29
110,14,96,37.1,2021/03/06 07:07:32
83,19,94,37.2,2021/03/06 07:07:35
68,22,94,37.7,2021/03/06 07:07:38
76,18,89,38,2021/03/06 07:07:41
70,22,94,37.4,2021/03/06 07:07:44
107,16,96,36.8,2021/03/06 07:07:47
87,18,91,37.2,2021/03/06 07:07:50
79,15,91,36.1,2021/03/06 07:07:53
61,20,97,36,2021/03/06 07:07:56
63,22,94,36.4,2021/03/06 07:07:59
75,18,89,37.4,2021/03/06 07:08:02
77,19,91,37.5,2021/03/06 07:08:05
95,15,91,37.1,2021/03/06 07:08:08
90,23,96,36.5,2021/03/06 07:08:11
82,17,96,36.9,2021/03/06 07:08:14
89,17,97,37.2,2021/03/06 07:08:17
93,20,90,37.8,2021/03/06 07:08:20
106,23,90,36.5,2021/03/06 07:08:23
113,22,90,37.4,2021/03/06 07:08:26
95,22,88,37.9,2021/03/06 07:08:29
109,20,96,36.8,2021/03/06 07:08:32
94,20,97,36.8,2021/03/06 07:08:35
82,16,94,37.3,2021/03/06 07:08:38
76,13,88,36.4,2021/03/06 07:08:41
99,16,99,37.1,2021/03/06 07:08:44
96,23,96,36.8,2021/03/06 07:08:47
100,22,90,36.6,2021/03/06 07:08:50
67,21,95,36.2,2021/03/06 07:08:53
95,20,90,38,2021/03/06 07:08:56
86,20,99,37.1,2021/03/06 07:08:59
90,21,98,36.3,2021/03/06 07:09:02
73,22,97,37.1,2021/03/06 07:09:05
78,22,90,37,2021/03/06 07:09:08
86,19,89,37.3,2021/03/06 07:09:11
71,17,91,37.1,2021/03/06 07:09:14
72,13,92,36.9,2021/03/06 07:09:17
74,18,94,37.1,2021/03/06 07:09:20
101,22,92,36.8,2021/03/06 07:09:23
90,21,98,36.3,2021/03/06 07:09:26
98,16,93,36.2,2021/03/06 07:09:29
66,22,94,37.4,2021/03/06 07:09:32
88,18,89,37.2,2021/03/06 07:09:35
76,13,93,37.8,2021/03/06 07:09:38
106,18,90,37,2021/03/06 07:09:41
94,16,94,36.7,2021/03/06 07:09:44
89,21,97,36.8,2021/03/06 07:09:47
95,17,94,37.1,2021/03/06 07:09:50
101,22,91,37.2,2021/03/06 07:09:53
110,15,96,37.8,2021/03/06 07:09:56
66,19,91,37.7,2021/03/06 07:09:59
72,17,94,36.7,2021/03/06 07:10:02
98,14,92,37.5,2021/03/06 07:10:05
98,13,97,37.5,2021/03/06 07:10:08
84,20,93,36.9,2021/03/06 07:10:11
114,21,88,38,2021/03/06 07:10:14
66,22,93,36.2,2021/03/06 07:10:17
112,24,91,36,2021/03/06 07:10:20
81,18,97,36.3,2021/03/06 07:10:23
87,24,93,37.8,2021/03/06 07:10:26
63,17,98,36.8,2021/03/06 07:10:29
67,21,94,37.7,2021/03/06 07:10:32
81,15,92,37.6,2021/03/06 07:10:35
70,15,94,36.4,2021/03/06 07:10:38
96,17,88,36.7,2021/03/06 07:10:41
103,17,89,37.5,2021/03/06 07:10:44
81,19,97,37.5,2021/03/06 07:10:47
89,15,92,37.7,2021/03/06 07:10:50
80,21,93,37.3,2021/03/06 07:10:53
74,17,93,36.6,2021/03/06 07:10:56
78,22,97,37.4,2021/03/06 07:10:59
109,17,92,37.7,2021/03/06 07:11:02
76,23,98,36.3,2021/03/06 07:11:05
109,22,89,37.3,2021/03/06 07:11:08
100,17,94,37.1,2021/03/06 07:11:11
87,22,91,36.3,2021/03/06 07:11:14
97,24,92,37.8,2021/03/06 07:11:17
76,18,95,36.1,2021/03/06 07:11:20
100,16,98,36.3,2021/03/06 07:11:23
107,24,98,37.2,2021/03/06 07:11:26
69,13,96,37.8,2021/03/06 07:11:29
94,14,98,37.5,2021/03/06 07:11:32
104,17,90,37,2021/03/06 07:11:35
102,23,93,37.3,2021/03/06 07:11:38
106,18,98,36.3,2021/03/06 07:11:41
100,21,98,36.7,2021/03/06 07:11:44
61,18,93,36,2021/03/06 07:11:47
105,23,92,36.4,2021/03/06 07:11:50
75,16,90,36.9,2021/03/06 07:11:53
83,16,91,38,2021/03/06 07:11:56
67,13,97,36.4,2021/03/06 07:11:59
92,18,96,37.3,2021/03/06 07:12:02
106,15,96,37.2,2021/03/06 07:12:05
93,21,94,36.6,2021/03/06 07:12:08
88,21,89,36.7,2021/03/06 07:12:11
66,14,94,37,2021/03/06 07:12:14
109,18,99,36.8,2021/03/06 07:12:17
71,19,91,36.7,2021/03/06 07:12:20
84,15,93,36.3,2021/03/06 07:12:23
85,20,91,36.8,2021/03/06 07:12:26
80,19,91,37.3,2021/03/06 07:12:29
70,19,90,36.4,2021/03/06 07:12:32
84,23,97,36.4,2021/03/06 07:12:35
64,22,93,37.5,2021/03/06 07:12:38
89,17,93,37.6,2021/03/06 07:12:41
102,14,97,37.6,2021/03/06 07:12:44
90,15,94,37.5,2021/03/06 07:12:47
67,16,88,38,2021/03/06 07:12:50
68,18,93,36.6,2021/03/06 07:12:53
73,13,96,36.2,2021/03/06 07:12:56
70,13,90,36.1,2021/03/06 07:12:59
83,15,96,37.9,2021/03/06 07:13:02
100,14,89,36.4,2021/03/06 07:13:05
67,14,96,38,2021/03/06 07:13:08
104,15,97,36.2,2021/03/06 07:13:11
73,19,95,36.1,2021/03/06 07:13:14
75,18,93,36.9,2021/03/06 07:13:17
87,21,97,36.2,2021/03/06 07:13:20
76,16,92,36.7,2021/03/06 07:13:23
109,16,95,37.2,2021/03/06 07:13:26
105,21,92,37.1,2021/03/06 07:13:29
89,20,92,36.3,2021/03/06 07:13:32
88,18,97,36.9,2021/03/06 07:13:35
96,15,98,36.9,2021/03/06 07:13:38
97,16,96,37.8,2021/03/06 07:13:41
84,17,91,36.7,2021/03/06 07:13:44
88,21,96,38,2021/03/06 07:13:47
79,15,92,37,2021/03/06 07:13:50
99,19,91,37,2021/03/06 07:13:53
99,17,93,37.5,2021/03/06 07:13:56
91,23,90,36.2,2021/03/06 07:13:59
110,13,98,37.9,2021/03/06 07:14:02
82,15,99,37.9,2021/03/06 07:14:05
103,18,89,36.7,2021/03/06 07:14:08
71,23,92,37,2021/03/06 07:14:11
107,22,99,37.7,2021/03/06 07:14:14
98,20,96,36.6,2021/03/06 07:14:17
104,24,89,36.6,2021/03/06 07:14:20
111,13,89,37.3,2021/03/06 07:14:23
101,20,97,38,2021/03/06 07:14:26
91,16,96,36.3,2021/03/06 07:14:29
90,18,93,37,2021/03/06 07:14:32
65,16,96,37,2021/03/06 07:14:35
97,18,93,36.3,2021/03/06 07:14:38
70,14,93,37.2,2021/03/06 07:14:41
106,19,92,37.9,2021/03/06 07:14:44
89,17,94,37.3,2021/03/06 07:14:47
104,21,91,36.1,2021/03/06 07:14:50
89,18,90,36.6,2021/03/06 07:14:53
80,23,97,36.7,2021/03/06 07:14:56
61,15,96,36.3,2021/03/06 07:14:59
88,15,93,37.1,2021/03/06 07:15:02
77,16,92,38,2021/03/06 07:15:05
62,24,90,37.4,2021/03/06 07:15:08
61,19,90,37.4,2021/03/06 07:15:11
101,16,96,36.4,2021/03/06 07:15:14
101,22,94,38,2021/03/06 07:15:17
67,18,92,37.1,2021/03/06 07:15:20
74,14,91,37.9,2021/03/06 07:15:23
72,22,96,36.9,2021/03/06 07:15:26
65,18,92,36.6,2021/03/06 07:15:29
73,20,89,38,2021/03/06 07:15:32
111,23,93,38,2021/03/06 07:15:35
83,17,89,37.1,2021/03/06 07:15:38
99,22,90,37.1,2021/03/06 07:15:41
99,17,89,36.4,2021/03/06 07:15:44
86,22,94,37.4,2021/03/06 07:15:47
86,19,95,36.3,2021/03/06 07:15:50
78,13,89,36.7,2021/03/06 07:15:53
70,17,97,37.6,2021/03/06 07:15:56
98,17,95,37.1,2021/03/06 07:15:59
78,18,99,36.9,2021/03/06 07:16:02
95,17,90,36.8,2021/03/06 07:16:05
89,23,93,37.4,2021/03/06 07:16:08
81,20,94,37.2,2021/03/06 07:16:11
84,17,97,36.1,2021/03/06 07:16:14
97,15,90,37.3,2021/03/06 07:16:17
69,21,91,36.6,2021/03/06 07:16:20
94,18,88,37.6,2021/03/06 07:16:23
106,16,93,36.6,2021/03/06 07:16:26
114,18,94,37.6,2021/03/06 07:16:29
68,16,95,37.6,2021/03/06 07:16:32
103,19,94,36.3,2021/03/06 07:16:35
66,22,90,37.2,2021/03/06 07:16:38
90,20,95,37.3,2021/03/06 07:16:41
101,18,96,36,2021/03/06 07:16:44
71,23,95,37.4,2021/03/06 07:16:47
98,22,94,36.7,2021/03/06 07:16:50
67,22,95,36.2,2021/03/06 07:16:53
108,15,94,37,2021/03/06 07:16:56
102,14,96,36.3,2021/03/06 07:16:59
92,16,91,37.3,2021/03/06 07:17:02
91,24,99,37.8,2021/03/06 07:17:05
88,15,97,37.2,2021/03/06 07:17:08
62,17,97,37.3,2021/03/06 07:17:11
82,14,96,36.5,2021/03/06 07:17:14
106,17,92,36.6,2021/03/06 07:17:17
65,22,94,36.7,2021/03/06 07:17:20
66,14,91,36.4,2021/03/06 07:17:23
95,15,92,37.9,2021/03/06 07:17:26
93,21,95,36.8,2021/03/06 07:17:29
80,14,97,37.7,2021/03/06 07:17:32
111,21,91,37.3,2021/03/06 07:17:35
65,18,97,37.6,2021/03/06 07:17:38
94,20,89,36.7,2021/03/06 07:17:41
69,19,99,36,2021/03/06 07:17:44
106,13,98,36.3,2021/03/06 07:17:47
103,18,97,36.4,2021/03/06 07:17:50
68,19,94,36.6,2021/03/06 07:17:53
80,18,90,37.5,2021/03/06 07:17:56
87,17,92,37.3,2021/03/06 07:17:59
63,19,95,36.8,2021/03/06 07:18:02
66,13,93,36.8,2021/03/06 07:18:05
91,20,93,37.3,2021/03/06 07:18:08
92,19,89,36.2,2021/03/06 07:18:11
104,17,91,37,2021/03/06 07:18:14
66,17,88,36.6,2021/03/06 07:18:17
72,20,90,36.1,2021/03/06 07:18:20
91,19,95,36.9,2021/03/06 07:18:23
79,21,95,37.6,2021/03/06 07:18:26
106,23,94,37.9,2021/03/06 07:18:29
83,17,94,37,2021/03/06 07:18:32
67,23,90,37.9,2021/03/06 07:18:35
103,24,95,37.9,2021/03/06 07:18:38
102,20,89,36.5,2021/03/06 07:18:41
86,21,97,37.6,2021/03/06 07:18:44
72,17,99,36.6,2021/03/06 07:18:47
82,15,97,38,2021/03/06 07:18:50
89,21,91,37.8,2021/03/06 07:18:53
69,18,92,37.4,2021/03/06 07:18:56
78,19,90,37.8,2021/03/06 07:18:59
101,14,96,38,2021/03/06 07:19:02
111,16,99,36.9,2021/03/06 07:19:05
112,24,96,37.6,2021/03/06 07:19:08
78,17,93,36.8,2021/03/06 07:19:11
88,17,88,37.4,2021/03/06 07:19:14
90,22,92,37.1,2021/03/06 07:19:17
95,20,91,36.5,2021/03/06 07:19:20
71,15,92,37.2,2021/03/06 07:19:23
84,13,89,37.6,2021/03/06 07:19:26
71,18,90,37,2021/03/06 07:19:29
96,15,91,36.7,2021/03/06 07:19:32
97,18,89,37.3,2021/03/06 07:19:35
72,20,98,37.8,2021/03/06 07:19:38
82,21,96,36.7,2021/03/06 07:19:41
103,18,92,37.4,2021/03/06 07:19:44
92,15,96,37.2,2021/03/06 07:19:47
114,21,88,37.4,2021/03/06 07:19:50
64,20,94,37.7,2021/03/06 07:19:53
103,19,93,36,2021/03/06 07:19:56
64,20,89,37.2,2021/03/06 07:19:59
99,23,96,36.4,2021/03/06 07:20:02
68,16,90,37.2,2021/03/06 07:20:05
71,20,94,37.6,2021/03/06 07:20:08
73,14,89,36.4,2021/03/06 07:20:11
105,16,89,37.6,2021/03/06 07:20:14
94,16,91,37.7,2021/03/06 07:20:17
94,21,93,37.9,2021/03/06 07:20:20
98,16,98,36.8,2021/03/06 07:20:23
86,19,93,37.6,2021/03/06 07:20:26
91,20,89,36.7,2021/03/06 07:20:29
111,22,97,37.2,2021/03/06 07:20:32
107,17,95,36.7,2021/03/06 07:20:35
109,23,88,36.9,2021/03/06 07:20:38
105,13,97,37.8,2021/03/06 07:20:41
89,16,95,37.2,2021/03/06 07:20:44
74,14,90,37.5,2021/03/06 07:20:47
106,22,92,36.8,2021/03/06 07:20:50
67,20,90,37.8,2021/03/06 07:20:53
73,19,96,36.4,2021/03/06 07:20:56
91,16,93,37,2021/03/06 07:20:59
105,23,90,36.6,2021/03/06 07:21:02
88,16,88,36.1,2021/03/06 07:21:05
67,18,92,36.7,2021/03/06 07:21:08
95,23,96,37.9,2021/03/06 07:21:11
84,21,95,36.4,2021/03/06 07:21:14
80,16,98,36.8,2021/03/06 07:21:17
100,15,98,37.5,2021/03/06 07:21:20
106,21,89,36,2021/03/06 07:21:23
73,18,97,37.6,2021/03/06 07:21:26
93,18,96,36.5,2021/03/06 07:21:29
61,16,95,37.7,2021/03/06 07:21:32
106,22,91,37.5,2021/03/06 07:21:35
79,22,99,36.1,2021/03/06 07:21:38
91,21,89,36.5,2021/03/06 07:21:41
101,16,95,36.7,2021/03/06 07:21:44
85,22,95,37.4,2021/03/06 07:21:47
92,14,91,36.1,2021/03/06 07:21:50
72,19,91,36.1,2021/03/06 07:21:53
90,16,94,36.6,2021/03/06 07:21:56
80,19,95,36,2021/03/06 07:21:59
86,17,89,37,2021/03/06 07:22:02
101,16,89,36.2,2021/03/06 07:22:05
100,18,90,36.8,2021/03/06 07:22:08
84,19,94,36.2,2021/03/06 07:22:11
109,21,93,36,2021/03/06 07:22:14
81,21,91,37.6,2021/03/06 07:22:17
87,17,92,37.9,2021/03/06 07:22:20
95,21,88,37.9,2021/03/06 07:22:23
107,15,96,37.4,2021/03/06 07:22:26
81,20,96,37.3,2021/03/06 07:22:29
77,24,90,37.9,2021/03/06 07:22:32
103,18,93,37.1,2021/03/06 07:22:35
85,22,90,37.3,2021/03/06 07:22:38
89,14,93,36.8,2021/03/06 07:22:41
80,23,90,37.2,2021/03/06 07:22:44
70,16,91,36.5,2021/03/06 07:22:47
67,21,97,37.9,2021/03/06 07:22:50
75,24,94,37.7,2021/03/06 07:22:53
102,15,93,36.6,2021/03/06 07:22:56
70,16,98,36.6,2021/03/06 07:22:59
75,23,92,36.4,2021/03/06 07:23:02
101,16,96,36.1,2021/03/06 07:23:05
85,24,98,36.7,2021/03/06 07:23:08
84,22,93,37.5,2021/03/06 07:23:11
106,17,90,36.9,2021/03/06 07:23:14
110,23,97,36.6,2021/03/06 07:23:17
101,23,97,37.1,2021/03/06 07:23:20
95,16,92,37.1,2021/03/06 07:23:23
84,21,98,37.6,2021/03/06 07:23:26
114,21,96,36.4,2021/03/06 07:23:29
94,18,91,36.2,2021/03/06 07:23:32
91,19,91,36.2,2021/03/06 07:23:35
70,14,95,36,2021/03/06 07:23:38
82,17,89,37.7,2021/03/06 07:23:41
74,23,93,36.8,2021/03/06 07:23:44
98,21,95,36.3,2021/03/06 07:23:47
110,22,97,37.7,2021/03/06 07:23:50
84,16,92,36.3,2021/03/06 07:23:53
60,18,99,37.7,2021/03/06 07:23:56
70,21,89,36.6,2021/03/06 07:23:59
76,17,95,37,2021/03/06 07:24:02
65,24,96,36.4,2021/03/06 07:24:05
100,15,92,36.1,2021/03/06 07:24:08
72,21,95,37.7,2021/03/06 07:24:11
80,14,98,36.8,2021/03/06 07:24:14
88,19,95,37.2,2021/03/06 07:24:17
80,15,95,37.9,2021/03/06 07:24:20
97,16,93,37.4,2021/03/06 07:24:23
107,17,91,37.9,2021/03/06 07:24:26
65,19,89,36.2,2021/03/06 07:24:29
61,17,99,36,2021/03/06 07:24:32
86,13,91,36.2,2021/03/06 07:24:35
110,14,94,37.1,2021/03/06 07:24:38
107,22,90,36.9,2021/03/06 07:24:41
98,24,90,36.7,2021/03/06 07:24:44
92,21,96,36.5,2021/03/06 07:24:47
107,18,93,36.5,2021/03/06 07:24:50
88,17,92,36.2,2021/03/06 07:24:53
100,20,98,37.3,2021/03/06 07:24:56
78,18,91,37.3,2021/03/06 07:24:59
62,15,97,37.9,2021/03/06 07:25:02
107,21,96,36.3,2021/03/06 07:25:05
74,18,98,36,2021/03/06 07:25:08
113,18,94,37,2021/03/06 07:25:11
72,15,88,36.4,2021/03/06 07:25:14
100,20,96,36.2,2021/03/06 07:25:17
106,19,94,37.5,2021/03/06 07:25:20
65,22,97,37.7,2021/03/06 07:25:23
105,22,97,37.2,2021/03/06 07:25:26
95,18,94,37.6,2021/03/06 07:25:29
85,16,93,37.1,2021/03/06 07:25:32
114,18,96,37.9,2021/03/06 07:25:35
69,19,97,36.7,2021/03/06 07:25:38
71,18,92,37.6,2021/03/06 07:25:41
65,17,91,37.5,2021/03/06 07:25:44
96,18,94,36.2,2021/03/06 07:25:47
97,14,92,37.5,2021/03/06 07:25:50
100,18,96,36.2,2021/03/06 07:25:53
88,23,90,37.5,2021/03/06 07:25:56
78,19,97,37.5,2021/03/06 07:25:59
112,19,93,36.2,2021/03/06 07:26:02
101,19,93,36.5,2021/03/06 07:26:05
104,13,94,36.6,2021/03/06 07:26:08
96,19,98,36.3,2021/03/06 07:26:11
96,22,92,36.8,2021/03/06 07:26:14
93,20,90,36.4,2021/03/06 07:26:17
95,14,88,36.3,2021/03/06 07:26:20
89,17,95,37,2021/03/06 07:26:23
60,16,98,37.4,2021/03/06 07:26:26
81,18,95,37.4,2021/03/06 07:26:29
104,17,92,36.3,2021/03/06 07:26:32
94,16,92,36.9,2021/03/06 07:26:35
85,23,91,36.1,2021/03/06 07:26:38
70,22,98,36.4,2021/03/06 07:26:41
109,20,95,37,2021/03/06 07:26:44
77,17,90,37.9,2021/03/06 07:26:47
65,20,92,37.4,2021/03/06 07:26:50
98,19,92,36.1,2021/03/06 07:26:53
87,20,90,37.5,2021/03/06 07:26:56
107,19,97,37.5,2021/03/06 07:26:59
64,18,89,37.1,2021/03/06 07:27:02
111,19,97,37.5,2021/03/06 07:27:05
83,22,89,36.3,2021/03/06 07:27:08
63,21,91,36,2021/03/06 07:27:11
73,18,94,37.8,2021/03/06 07:27:14
99,17,94,37.2,2021/03/06 07:27:17
106,20,89,36.4,2021/03/06 07:27:20
100,19,95,36.9,2021/03/06 07:27:23
67,21,90,37.4,2021/03/06 07:27:26
90,14,95,37.7,2021/03/06 07:27:29
77,15,91,36.6,2021/03/06 07:27:32
77,24,91,37.6,2021/03/06 07:27:35
65,20,90,37.5,2021/03/06 07:27:38
95,16,89,36.4,2021/03/06 07:27:41
68,18,90,36.1,2021/03/06 07:27:44
93,19,93,36.9,2021/03/06 07:27:47
65,18,94,36.1,2021/03/06 07:27:50
96,17,95,37.5,2021/03/06 07:27:53
70,13,90,37,2021/03/06 07:27:56
109,17,99,37.5,2021/03/06 07:27:59
71,20,94,37,2021/03/06 07:28:02
84,16,96,36,2021/03/06 07:28:05
78,21,89,37.7,2021/03/06 07:28:08
91,17,96,36.1,2021/03/06 07:28:11
86,22,94,37.3,2021/03/06 07:28:14
107,17,93,37.6,2021/03/06 07:28:17
95,20,91,37.8,2021/03/06 07:28:20
104,21,98,37.9,2021/03/06 07:28:23
76,22,91,37.7,2021/03/06 07:28:26
68,16,98,37.9,2021/03/06 07:28:29
71,21,94,36.8,2021/03/06 07:28:32
69,22,88,37.6,2021/03/06 07:28:35
88,14,94,36.4,2021/03/06 07:28:38
99,20,90,37.1,2021/03/06 07:28:41
83,16,95,37.4,2021/03/06 07:28:44
114,20,95,36.8,2021/03/06 07:28:47
80,18,94,37,2021/03/06 07:28:50
91,23,90,37.8,2021/03/06 07:28:53
100,16,91,36.9,2021/03/06 07:28:56
86,20,98,37.6,2021/03/06 07:28:59
82,21,93,36.3,2021/03/06 07:29:02
80,19,89,36.9,2021/03/06 07:29:05
99,19,93,37.7,2021/03/06 07:29:08
70,15,94,37.6,2021/03/06 07:29:11
84,18,93,37.5,2021/03/06 07:29:14
96,16,98,36.6,2021/03/06 07:29:17
88,20,91,37.6,2021/03/06 07:29:20
70,13,90,37.3,2021/03/06 07:29:23
90,20,94,36.6,2021/03/06 07:29:26
111,17,92,36.7,2021/03/06 07:29:29
99,21,90,36.3,2021/03/06 07:29:32
100,17,99,36.7,2021/03/06 07:29:35
69,16,97,37.4,2021/03/06 07:29:38
